Song,Artist,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id_Spotify,Link_Spotify,type,uri,track_href,analysis_url,Link_YouTube,Questionnaire
Is This Love,Bob Marley,Reggae,0.776,0.559,6,-8.375,0,0.103,0.11,0,0.0671,0.758,122.242,232200,4,6JRLFiX9NJSoRRKxowlBYr,https://open.spotify.com/track/6JRLFiX9NJSoRRKxowlBYr,audio_features,spotify:track:6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/tracks/6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/audio-analysis/6JRLFiX9NJSoRRKxowlBYr,,
I Shot the Sheriff,Bob Marley,Reggae,0.444,0.739,6,-8.554,0,0.085,0.515,0.000444,0.817,0.808,175.898,432600,4,4ADEd6pwcJqYMqMv5HV4Yl,https://open.spotify.com/track/4ADEd6pwcJqYMqMv5HV4Yl,audio_features,spotify:track:4ADEd6pwcJqYMqMv5HV4Yl,https://api.spotify.com/v1/tracks/4ADEd6pwcJqYMqMv5HV4Yl,https://api.spotify.com/v1/audio-analysis/4ADEd6pwcJqYMqMv5HV4Yl,https://youtu.be/2XiYUYcpsT4,5
We will Rock You,Queen,Rock,0.698,0.398,11,-10.584,0,0.0694,0.585,0,0.175,0.512,81.269,122093,4,4fVn54cP0hasdSHuJthQj1,https://open.spotify.com/track/4fVn54cP0hasdSHuJthQj1,audio_features,spotify:track:4fVn54cP0hasdSHuJthQj1,https://api.spotify.com/v1/tracks/4fVn54cP0hasdSHuJthQj1,https://api.spotify.com/v1/audio-analysis/4fVn54cP0hasdSHuJthQj1,https://youtu.be/-tJYN-eG1zk?t=5,3
I want to Break Free,Queen,Rock,0.865,0.4,4,-11.957,1,0.0367,0.0509,0.00189,0.205,0.844,109.16,200973,4,09jZZLarDD6MI3eT3ujsEL,https://open.spotify.com/track/09jZZLarDD6MI3eT3ujsEL,audio_features,spotify:track:09jZZLarDD6MI3eT3ujsEL,https://api.spotify.com/v1/tracks/09jZZLarDD6MI3eT3ujsEL,https://api.spotify.com/v1/audio-analysis/09jZZLarDD6MI3eT3ujsEL,,
Enter Sandman,Metallica,Hard Rock,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,331267,4,5sICkBXVmaCQk5aISGR3x1,https://open.spotify.com/track/5sICkBXVmaCQk5aISGR3x1,audio_features,spotify:track:5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/tracks/5sICkBXVmaCQk5aISGR3x1,https://api.spotify.com/v1/audio-analysis/5sICkBXVmaCQk5aISGR3x1,https://youtu.be/CD-E-LDc384?t=40,8
What a wonderful world,Louis Armstrong,Jazz,0.271,0.165,5,-20.652,1,0.0351,0.729,0.0000016,0.118,0.203,77.082,139227,4,29U7stRjqHU6rMiS8BfaI9,https://open.spotify.com/track/29U7stRjqHU6rMiS8BfaI9,audio_features,spotify:track:29U7stRjqHU6rMiS8BfaI9,https://api.spotify.com/v1/tracks/29U7stRjqHU6rMiS8BfaI9,https://api.spotify.com/v1/audio-analysis/29U7stRjqHU6rMiS8BfaI9,https://youtu.be/p-T6aaRV9HY?t=19,1
La Vie En Rose,Edit Piaf,Jazz,0.368,0.278,0,-8.596,0,0.0302,0.981,0,0.272,0.338,82.305,187733,4,3lAun9V0YdTlCSIEXPvfsY,https://open.spotify.com/track/3lAun9V0YdTlCSIEXPvfsY,audio_features,spotify:track:3lAun9V0YdTlCSIEXPvfsY,https://api.spotify.com/v1/tracks/3lAun9V0YdTlCSIEXPvfsY,https://api.spotify.com/v1/audio-analysis/3lAun9V0YdTlCSIEXPvfsY,,
Ipanema Girl,Varios,latin,0.779,0.613,9,-7.24,1,0.0674,0.534,0.0000954,0.118,0.812,152.066,251480,4,7E9DYN1PhD0qpAvKAwWIRn,https://open.spotify.com/track/7E9DYN1PhD0qpAvKAwWIRn,audio_features,spotify:track:7E9DYN1PhD0qpAvKAwWIRn,https://api.spotify.com/v1/tracks/7E9DYN1PhD0qpAvKAwWIRn,https://api.spotify.com/v1/audio-analysis/7E9DYN1PhD0qpAvKAwWIRn,https://youtu.be/8PYKOo_jgJo?t=7,10
19 Días y 500 Noches,Joaquín Sabina,latin,0.706,0.786,4,-4.431,1,0.216,0.696,0,0.272,0.8,87.539,281360,4,5H65WGGLMlGGh17kh77vG4,https://open.spotify.com/track/5H65WGGLMlGGh17kh77vG4,audio_features,spotify:track:5H65WGGLMlGGh17kh77vG4,https://api.spotify.com/v1/tracks/5H65WGGLMlGGh17kh77vG4,https://api.spotify.com/v1/audio-analysis/5H65WGGLMlGGh17kh77vG4,,
No le Pegue a la Negra,Varios,latin,0.787,0.788,0,-9.997,0,0.0462,0.525,0.000175,0.0626,0.872,101.913,276320,4,4VZlzYNRyweaQpDIHE07GD,https://open.spotify.com/track/4VZlzYNRyweaQpDIHE07GD,audio_features,spotify:track:4VZlzYNRyweaQpDIHE07GD,https://api.spotify.com/v1/tracks/4VZlzYNRyweaQpDIHE07GD,https://api.spotify.com/v1/audio-analysis/4VZlzYNRyweaQpDIHE07GD,https://youtu.be/PqmLPeL8aj4?t=10,10
El cuarto de Tula,Varios,latin,0.533,0.715,9,-11.925,1,0.0466,0.618,0.000264,0.295,0.843,104.275,445427,4,0iLFcV2sOXIH8LLGFJL8sO,https://open.spotify.com/track/0iLFcV2sOXIH8LLGFJL8sO,audio_features,spotify:track:0iLFcV2sOXIH8LLGFJL8sO,https://api.spotify.com/v1/tracks/0iLFcV2sOXIH8LLGFJL8sO,https://api.spotify.com/v1/audio-analysis/0iLFcV2sOXIH8LLGFJL8sO,https://youtu.be/XZHF6SDWtU8?t=15,7
Atrevete-Te-Te,Calle 13,Reggaeton,0.829,0.878,9,-5.951,1,0.101,0.0959,0,0.776,0.883,87.991,239307,4,1q8NdCAQ9QUjpYiqzdd3mv,https://open.spotify.com/track/1q8NdCAQ9QUjpYiqzdd3mv,audio_features,spotify:track:1q8NdCAQ9QUjpYiqzdd3mv,https://api.spotify.com/v1/tracks/1q8NdCAQ9QUjpYiqzdd3mv,https://api.spotify.com/v1/audio-analysis/1q8NdCAQ9QUjpYiqzdd3mv,https://youtu.be/vXtJkDHEAAc?t=10,8
Pitbull,El Taxi,Reggaeton,0.869,0.691,7,-6.872,1,0.192,0.12,0,0.102,0.875,95.019,249800,4,1LbGorB0xOfpiXQJFKB2Nd,https://open.spotify.com/track/1LbGorB0xOfpiXQJFKB2Nd,audio_features,spotify:track:1LbGorB0xOfpiXQJFKB2Nd,https://api.spotify.com/v1/tracks/1LbGorB0xOfpiXQJFKB2Nd,https://api.spotify.com/v1/audio-analysis/1LbGorB0xOfpiXQJFKB2Nd,https://youtu.be/UyGQPNywEDY?t=18,9
Clandestino,Manu Chao,latin,0.68,0.594,6,-6.417,0,0.0688,0.469,0,0.431,0.774,85.04,149173,4,51R2M1JgyFfRS3e6v5wCt3,https://open.spotify.com/track/51R2M1JgyFfRS3e6v5wCt3,audio_features,spotify:track:51R2M1JgyFfRS3e6v5wCt3,https://api.spotify.com/v1/tracks/51R2M1JgyFfRS3e6v5wCt3,https://api.spotify.com/v1/audio-analysis/51R2M1JgyFfRS3e6v5wCt3,https://youtu.be/I0PjuPu78rQ?t=13,4
Welcome to Tijuana,Manu Chao,latin,0.642,0.539,2,-9.164,0,0.0584,0.51,0.0000568,0.0896,0.694,142.006,244093,4,15boojE8lD9VfJku7h4rpB,https://open.spotify.com/track/15boojE8lD9VfJku7h4rpB,audio_features,spotify:track:15boojE8lD9VfJku7h4rpB,https://api.spotify.com/v1/tracks/15boojE8lD9VfJku7h4rpB,https://api.spotify.com/v1/audio-analysis/15boojE8lD9VfJku7h4rpB,https://youtu.be/JVmjLGxFJAw?t=6,2
Calaveras y Diablitos,Fabulosos,latin,0.701,0.46,9,-6.141,1,0.0421,0.511,0.0000984,0.214,0.853,92.725,264027,4,67VY2M8IZedcXJcy8LG5EH,https://open.spotify.com/track/67VY2M8IZedcXJcy8LG5EH,audio_features,spotify:track:67VY2M8IZedcXJcy8LG5EH,https://api.spotify.com/v1/tracks/67VY2M8IZedcXJcy8LG5EH,https://api.spotify.com/v1/audio-analysis/67VY2M8IZedcXJcy8LG5EH,https://youtu.be/OZc11vc27f8?t=19,6
Matador,Fabulosos,latin,0.554,0.963,4,-5.439,0,0.106,0.0348,0.029,0.0836,0.662,193.805,274067,4,4S0p4Z0KuVUWm2bxKoGPRJ,https://open.spotify.com/track/4S0p4Z0KuVUWm2bxKoGPRJ,audio_features,spotify:track:4S0p4Z0KuVUWm2bxKoGPRJ,https://api.spotify.com/v1/tracks/4S0p4Z0KuVUWm2bxKoGPRJ,https://api.spotify.com/v1/audio-analysis/4S0p4Z0KuVUWm2bxKoGPRJ,https://youtu.be/pjPA7CXutDw?t=15,8
Persiana Americana,Soda,Rock,0.574,0.938,4,-4.98,0,0.0466,0.0164,0.0000476,0.0804,0.512,100.93,295000,4,4iPA2yB8bK7T770EkkOi7s,https://open.spotify.com/track/4iPA2yB8bK7T770EkkOi7s,audio_features,spotify:track:4iPA2yB8bK7T770EkkOi7s,https://api.spotify.com/v1/tracks/4iPA2yB8bK7T770EkkOi7s,https://api.spotify.com/v1/audio-analysis/4iPA2yB8bK7T770EkkOi7s,https://youtu.be/WSUU_iB9iH8?t=17,7
