Age,Gender,Your top 3 preferred music genres,Does your current activity demand your concentration,How are you feeling right now about your level of Happiness,How are you feeling right now about your level of Energy,How do you think listening to this song could affect your level of Happiness,How do you think listening to this song could affect your level of Energy,Song,Artist,Genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id_Spotify,Link_Spotify,Link_YouTube
37,Male,"Blues,Instrumental-Classical,Rock",some concentration,happy,calm,I keep the same,I keep the same,No habr nadie en el mundo,Buika,Latin,0.912,0.532,10,-8.871,0,0.036,0.751,0,0.0868,0.785,129.978,232827,4,0MTWY6gyLmeEHyYJGqM5hU,https://open.spotify.com/track/0MTWY6gyLmeEHyYJGqM5hU,https://youtu.be/B8SVDn34vVQ?t=13
35,Female,"Blues,Jazz,Reggae",some concentration,happy,neutral,I get happier,I feel with more energy,Il Mondo,Jimmy Fontana,Vocal,0.188,0.524,2,-10.043,1,0.0367,0.314,0,0.41,0.402,175.971,162773,4,4g8VQKQwS2JfK2dnEhbQmL,https://open.spotify.com/track/4g8VQKQwS2JfK2dnEhbQmL,https://youtu.be/E92bmikkFpU?t=5
37,Male,"Jazz,Reggaeton,Rock","yes, my full concentration",neutral,with some energy,I get happier,I feel with more energy,Sexy And I Know It,LMFAO,Dance,0.702,0.848,7,-4.227,1,0.302,0.103,0,0.202,0.785,130.06,201267,4,5tGFmUFsBBSPvj5ZLQ686F,https://open.spotify.com/track/5tGFmUFsBBSPvj5ZLQ686F,https://youtu.be/wyx6JDQCslE?t=11
23,Female,"Instrumental-Classical,Rock,Vocal",some concentration,neutral,neutral,I keep the same,I get more relaxed,We are the People,Empire of the Sun,Dance,0.675,0.781,4,-5.404,0,0.0306,0.0801,0.0143,0.422,0.534,122.989,267373,4,3zEN0ii6s4DHHBpnTp3RP7,https://open.spotify.com/track/3zEN0ii6s4DHHBpnTp3RP7,https://youtu.be/hN5X4kGhAtU?t=40
30,Male,"Dance,Pop,Rock","yes, my full concentration",happy,neutral,I get happier,I get more relaxed,My sweet lord,George Harrison,Blues,0.538,0.704,1,-8.904,0,0.0332,0.0794,0,0.0867,0.583,120.963,281227,4,0qdQUeKVyevrbKhAo0ibxS,https://open.spotify.com/track/0qdQUeKVyevrbKhAo0ibxS,https://youtu.be/SP9wms6oEMo?t=29
31,Female,"Pop,Reggaeton,Rock","yes, my full concentration",happy,with some energy,I keep the same,I feel with more energy,Vente Pa'Ca,Ricky Martin,Reggaeton,0.663,0.92,11,-4.07,0,0.226,0.00431,0.0000169,0.101,0.533,99.935,259196,4,7DM4BPaS7uofFul3ywMe46,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,https://youtu.be/iOe6dI2JhgU?t=40
27,Female,"Dance,Reggaeton,Rock","yes, my full concentration",neutral,with some energy,I get happier,I feel with more energy,Enter Sandman,Metallica,Hard Rock,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,331267,4,5sICkBXVmaCQk5aISGR3x1,https://open.spotify.com/track/5sICkBXVmaCQk5aISGR3x1,https://youtu.be/CD-E-LDc384?t=40
30,Male,"Latin,Pop,Rock","yes, my full concentration",neutral,with some energy,I get happier,I feel with more energy,Somebody That I Used To Know,Gotye & Kimbra,Pop,0.857,0.517,0,-6.972,1,0.0384,0.565,0.000195,0.102,0.754,129.063,244973,4,4wCmqSrbyCgxEXROQE6vtV,https://open.spotify.com/track/4wCmqSrbyCgxEXROQE6vtV,https://youtu.be/8UVNT4wvIGY?t=19
23,Male,"Pop,Reggaeton,Rock",some concentration,very happy,with some energy,I get happier,I feel with more energy,We will Rock You,Queen,Rock,0.698,0.398,11,-10.584,0,0.0694,0.585,0,0.175,0.512,81.269,122093,4,4fVn54cP0hasdSHuJthQj1,https://open.spotify.com/track/4fVn54cP0hasdSHuJthQj1,https://youtu.be/-tJYN-eG1zk?t=5
36,Male,"Hard Rock,Reggae,Rock","yes, my full concentration",happy,with a lot of energy,I get happier,I keep the same,We are the People,Empire of the Sun,Dance,0.675,0.781,4,-5.404,0,0.0306,0.0801,0.0143,0.422,0.534,122.989,267373,4,3zEN0ii6s4DHHBpnTp3RP7,https://open.spotify.com/track/3zEN0ii6s4DHHBpnTp3RP7,https://youtu.be/hN5X4kGhAtU?t=40
24,Female,"Dance,Pop,Rock",some concentration,happy,neutral,I get less happy,I get more relaxed,The End,The Doors,Blues,0.347,0.302,0,-12.104,1,0.0291,0.163,0.0000917,0.14,0.0332,105.702,703373,4,5UgT7w6zVZjP3oyawMzbiK,https://open.spotify.com/track/5UgT7w6zVZjP3oyawMzbiK,https://youtu.be/JSUIQgEVDM4?t=50
30,Female,"Latin,Pop,Rock","yes, my full concentration",happy,neutral,I get happier,I keep the same,Mr. Brightside,The Killers,Rock,0.355,0.918,1,-4.36,1,0.0746,0.00119,0,0.0971,0.24,148.114,222200,4,3n3Ppam7vgaVa1iaRUc9Lp,https://open.spotify.com/track/3n3Ppam7vgaVa1iaRUc9Lp,https://youtu.be/gGdGFtwCNBE?t=5
33,Male,"Dance,Reggae,Rock","yes, my full concentration",happy,neutral,I get less happy,I keep the same,Persiana Americana,Soda,Rock,0.574,0.938,4,-4.98,0,0.0466,0.0164,0.0000476,0.0804,0.512,100.93,295000,4,4iPA2yB8bK7T770EkkOi7s,https://open.spotify.com/track/4iPA2yB8bK7T770EkkOi7s,https://youtu.be/WSUU_iB9iH8?t=17
27,Female,"Dance,Latin,Reggaeton","yes, my full concentration",happy,with some energy,I get happier,I feel with more energy,Wake Me Up,Avicii,Dance,0.518,0.784,2,-5.659,1,0.0524,0.00346,0.00187,0.171,0.588,124.102,247427,4,4h8VwCb1MTGoLKueQ1WgbD,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD,https://youtu.be/IcrbM1l_BoI?t=6
36,Male,"Dance,Jazz,Rock","yes, my full concentration",neutral,calm,I get happier,I keep the same,Wonderwall,Oasis,Rock,0.407,0.889,6,-4.362,0,0.0325,0.000691,0,0.189,0.699,174.585,258080,4,37QocLRDF8iFO7pMp1RFrF,https://open.spotify.com/track/37QocLRDF8iFO7pMp1RFrF,https://youtu.be/bx1Bh8ZvH84?t=30
31,Female,"Dance,Pop,Rock",some concentration,happy,with some energy,I keep the same,I keep the same,We will Rock You,Queen,Rock,0.698,0.398,11,-10.584,0,0.0694,0.585,0,0.175,0.512,81.269,122093,4,4fVn54cP0hasdSHuJthQj1,https://open.spotify.com/track/4fVn54cP0hasdSHuJthQj1,https://youtu.be/-tJYN-eG1zk?t=5
22,Female,"Pop,Reggaeton,Rock",some concentration,happy,with some energy,I get happier,I feel with more energy,No le Pegue a la Negra,Varios,latin,0.787,0.788,0,-9.997,0,0.0462,0.525,0.000175,0.0626,0.872,101.913,276320,4,4VZlzYNRyweaQpDIHE07GD,https://open.spotify.com/track/4VZlzYNRyweaQpDIHE07GD,https://youtu.be/PqmLPeL8aj4?t=10
37,Female,"Dance,Instrumental-Classical,Rock","yes, my full concentration",not so happy,very calm,I get happier,I get more relaxed,Just the Way You Are,Bruno Mars,Pop,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,220733,4,7BqBn9nzAq8spo5e7cZ0dJ,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,https://youtu.be/LjhCEhWiKXk?t=27
26,Male,"Blues,Rock,Vocal",some concentration,very happy,with some energy,I keep the same,I feel with more energy,Wonderwall,Oasis,Rock,0.407,0.889,6,-4.362,0,0.0325,0.000691,0,0.189,0.699,174.585,258080,4,37QocLRDF8iFO7pMp1RFrF,https://open.spotify.com/track/37QocLRDF8iFO7pMp1RFrF,https://youtu.be/bx1Bh8ZvH84?t=30
33,Male,"Dance,Reggaeton,Rock","yes, my full concentration",happy,neutral,I get happier,I feel with more energy,Gangnam Style,PSY,Dance,0.736,0.939,11,-2.812,0,0.284,0.0055,0,0.0905,0.761,132.07,219493,4,03UrZgTINDqvnUMbbIMhql,https://open.spotify.com/track/03UrZgTINDqvnUMbbIMhql,https://youtu.be/9bZkp7q19f0?t=6
23,Male,"Dance,Hard Rock,Instrumental-Classical",not at all,really unhappy,neutral,I get less happy,I keep the same,Rolling in the Deep,Adele,Pop,0.729,0.756,8,-5.119,1,0.0294,0.131,0,0.0527,0.522,104.945,228293,4,1CkvWZme3pRgbzaxZnTl5X,https://open.spotify.com/track/1CkvWZme3pRgbzaxZnTl5X,https://youtu.be/rYEDA3JcQqw?t=4
39,Female,"Blues,Jazz,Pop",some concentration,happy,calm,I get happier,I feel with more energy,Take me Out,Franz Ferdinand,Rock,0.278,0.676,9,-8.821,1,0.0371,0.000423,0.000899,0.136,0.494,104.545,237027,4,6ooluO7DiEhI1zmK94nRCM,https://open.spotify.com/track/6ooluO7DiEhI1zmK94nRCM,https://youtu.be/GhCXAiNz9Jo?t=3
37,Male,"Jazz,Pop,Rock","yes, my full concentration",happy,with a lot of energy,I get happier,I get more relaxed,In a Sentimental Mood,Duke Ellington,Jazz,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.231,255227,4,0E8q2Fx2XuzXCO2NSAppkR,https://open.spotify.com/track/0E8q2Fx2XuzXCO2NSAppkR,https://youtu.be/sCQfTNOC5aE?t=15
